,Configuration,#Tasks before failure,RiskThreshold,Time,NonPr,Printable,Materials,Env_Materials,#Replicator,#Normal,#Assembler,#Printer,#Assembling,#Printing,#Collecting,#Idle,#Repair,#In,#Out,Average Build Quality in-service,Average Build Quality of System,#WasteReplicator,#WasteNormal,#WasteAssembler,#WastePrinter,Environment Exhaust Time,Printable Exhaust Time,NonPr Exhaust Time,Material Exhaust Time,Average Risk,Print Capacity,Assembling Capacity,Collection Capacity,MTBF,MTTR,MDT,Aoss
58,CHO,5,0.7,99.0,258.0,16.0,550.0,0.0,1.0,41.0,0.0,0.0,1.0,0.0,0.0,41.0,0.0,42.0,0.0,0.907,0.907,0.0,0.0,0.0,0.0,99.0,0.0,0.0,0.0,0.023809523809523808,1.0,1.0,42.0,52086205870313.484,0.044444444444444446,22.5,0.999999999999568
59,CHO,10,0.7,99.0,255.0,10.0,550.0,0.0,1.0,44.0,0.0,0.0,1.0,0.0,0.0,44.0,0.0,45.0,0.0,0.914,0.914,0.0,0.0,0.0,0.0,99.0,0.0,0.0,0.0,0.022222222222222223,1.0,1.0,45.0,1.8507507329274167e+19,0.044444444444444446,22.5,1.0
60,CHO,2,0.7,249.0,239.0,1.0,527.0,0.0,1.0,61.0,0.0,0.0,0.0,1.0,0.0,61.0,0.0,62.0,0.0,0.915,0.915,0.0,0.0,0.0,0.0,249.0,0.0,0.0,0.0,0.0,1.0,1.0,62.0,1748457.2281205168,0.045454545454545456,21.5,0.9999877035964726
61,CHO,3,0.7,249.0,236.0,2.0,520.0,0.0,1.0,49.0,0.0,0.0,0.0,1.0,0.0,49.0,0.0,50.0,0.0,0.894,0.894,0.0,0.0,0.0,0.0,249.0,0.0,0.0,0.0,0.0,1.0,1.0,50.0,3045811355.242639,0.043478260869565216,21.5,0.9999999929411256
62,CHO,5,0.7,249.0,232.0,0.0,514.0,0.0,1.0,67.0,0.0,0.0,1.0,0.0,0.0,67.0,0.0,68.0,0.0,0.865,0.865,0.0,0.0,0.0,0.0,249.0,249.0,0.0,0.0,0.014705882352941176,1.0,1.0,68.0,49133473111225.42,0.044444444444444446,22.5,0.999999999999542
63,CHO,10,0.7,249.0,229.0,0.0,508.0,0.0,1.0,70.0,0.0,0.0,1.0,0.0,0.0,70.0,0.0,71.0,0.0,0.925,0.925,0.0,0.0,0.0,0.0,249.0,249.0,0.0,0.0,0.014084507042253521,1.0,1.0,71.0,1.9364336372296106e+19,0.044444444444444446,22.5,1.0
64,CHO,2,0.7,499.0,211.0,0.0,472.0,0.0,1.0,88.0,0.0,0.0,1.0,0.0,0.0,88.0,0.0,89.0,0.0,0.94,0.94,0.0,0.0,0.0,0.0,499.0,499.0,0.0,0.0,0.011235955056179775,1.0,1.0,89.0,1717109.3862508864,0.045454545454545456,21.5,0.999987479114043
65,CHO,3,0.7,499.0,204.0,0.0,458.0,0.0,1.0,49.0,0.0,0.0,1.0,0.0,0.0,49.0,0.0,50.0,0.0,0.861,0.861,0.0,0.0,0.0,0.0,499.0,499.0,0.0,0.0,0.02,1.0,1.0,50.0,3045811355.242639,0.043478260869565216,21.5,0.9999999929411256
66,CHO,5,0.7,499.0,198.0,2.0,444.0,0.0,1.0,102.0,0.0,0.0,0.0,1.0,0.0,102.0,0.0,103.0,0.0,0.911,0.911,0.0,0.0,0.0,0.0,499.0,0.0,0.0,0.0,0.0,1.0,1.0,103.0,49133473111225.42,0.044444444444444446,22.5,0.999999999999542
67,CHO,10,0.7,499.0,191.0,0.0,432.0,0.0,1.0,107.0,0.0,0.0,1.0,0.0,0.0,107.0,0.0,108.0,0.0,0.867,0.867,0.0,0.0,0.0,0.0,499.0,499.0,0.0,0.0,0.009259259259259259,1.0,1.0,108.0,2.0295672288624325e+19,0.044444444444444446,22.5,1.0
