,Time,NonPr,Printable,Materials,Env_Materials,#Replicator,#Normal,#Assembler,#Printer,#Assembling,#Printing,#Collecting,#Idle,#Repair,#In,#Out,Average Build Quality in-service,Average Build Quality of System,#WasteReplicator,#WasteNormal,#WasteAssembler,#WastePrinter,Environment Exhaust Time,Printable Exhaust Time,NonPr Exhaust Time,Material Exhaust Time,Average Risk,Print Capacity,Assembling Capacity,Collection Capacity,MTBF,MTTR,MDT,Aoss,#Tasks before failure
27,249.0,0.0,49.0,1.0,0.0,98.0,31.0,0.0,0.0,0.0,0.0,0.0,129.0,0.0,129.0,8.0,0.701,0.686,5.0,3.0,0.0,0.0,64.0,26.0,98.0,100.0,0.3368215011700776,98.0,98.0,129.0,2.6812656044349776e-44,0.03278977756242724,28.932183908045978,9.267415183578048e-46,0
28,249.0,0.0,49.0,1.0,0.0,91.0,22.0,0.0,0.0,0.0,0.0,0.0,113.0,0.0,113.0,8.0,0.647,0.634,7.0,1.0,0.0,0.0,110.0,35.0,142.0,148.0,0.5304775228838365,91.0,91.0,113.0,4.0970063367034295e-63,0.02218934834064948,42.23473575036074,9.700561075887483e-65,0
29,249.0,0.0,49.0,1.0,0.0,99.0,27.0,0.0,0.0,0.0,0.0,0.0,126.0,0.0,126.0,8.0,0.675,0.663,8.0,0.0,0.0,0.0,85.0,26.0,137.0,142.0,0.4729506337786006,99.0,99.0,126.0,5.969856219796977e-44,0.025473190919751053,36.5348886086591,1.6340151693748608e-45,0
30,249.0,0.0,49.0,1.0,0.0,95.0,26.0,0.0,0.0,0.0,0.0,0.0,121.0,0.0,121.0,14.0,0.698,0.672,13.0,1.0,0.0,0.0,85.0,27.0,104.0,106.0,0.3755570791841086,95.0,95.0,121.0,7.182425918938035e-42,0.031629355935555534,29.833333333333332,2.4075170678004587e-43,0
31,249.0,0.0,49.0,1.0,0.0,87.0,31.0,0.0,0.0,0.0,0.0,0.0,118.0,0.0,118.0,9.0,0.686,0.67,9.0,0.0,0.0,0.0,105.0,28.0,176.0,180.0,0.6165087740732902,87.0,87.0,118.0,5.428674403087262e-57,0.031657209131781855,30.236245917824863,1.7954194504969782e-58,0
32,249.0,0.0,49.0,1.0,0.0,88.0,30.0,0.0,0.0,0.0,0.0,0.0,118.0,0.0,118.0,8.0,0.672,0.658,6.0,2.0,0.0,0.0,84.0,29.0,142.0,146.0,0.4877820464201449,88.0,88.0,118.0,4.728929924833159e-59,0.02456299045753292,39.85481473291071,1.1865391814074032e-60,0
33,249.0,0.0,49.0,1.0,0.0,101.0,30.0,0.0,0.0,0.0,0.0,0.0,131.0,0.0,131.0,8.0,0.688,0.674,6.0,2.0,0.0,0.0,74.0,26.0,88.0,90.0,0.3128275433304887,101.0,101.0,131.0,4.59377726706066e-28,0.025509396872830468,34.261538461538464,1.3407971367711848e-29,0
34,249.0,0.0,49.0,1.0,0.0,101.0,26.0,0.0,0.0,0.0,0.0,0.0,127.0,0.0,127.0,8.0,0.664,0.653,6.0,2.0,0.0,0.0,81.0,26.0,128.0,132.0,0.4419740504987857,101.0,101.0,127.0,1.243010779127409e-47,0.021911895282908805,44.37044315333789,2.8014387299034674e-49,0
35,249.0,0.0,49.0,1.0,0.0,100.0,28.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,128.0,8.0,0.673,0.659,5.0,3.0,0.0,0.0,87.0,26.0,108.0,112.0,0.39642835660928744,100.0,100.0,128.0,2.1779666285563234e-54,0.022463643313177104,42.13333333333333,5.16922459309254e-56,0
36,249.0,0.0,49.0,1.0,0.0,90.0,34.0,0.0,0.0,0.0,0.0,0.0,124.0,0.0,124.0,7.0,0.692,0.679,7.0,0.0,0.0,0.0,68.0,26.0,92.0,96.0,0.3193706854042072,90.0,90.0,124.0,5.674667642032744e-32,0.02468673142413233,38.37856071964018,1.4786035577224603e-33,0
37,249.0,0.0,49.0,1.0,0.0,94.0,26.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,120.0,11.0,0.665,0.647,11.0,0.0,0.0,0.0,81.0,26.0,120.0,124.0,0.4222478835886117,94.0,94.0,120.0,8.411703385920883e-40,0.025479574693728954,38.4811320754717,2.1859292937181016e-41,0
38,249.0,0.0,49.0,1.0,0.0,114.0,29.0,0.0,0.0,0.0,0.0,0.0,143.0,0.0,143.0,6.0,0.695,0.686,6.0,0.0,0.0,0.0,75.0,44.0,80.0,84.0,0.2941901532022798,114.0,114.0,143.0,1.9749641047905013e-30,0.023264710356773955,40.43333333333334,4.884494900553589e-32,0
